"Title","Artist","Album","YouTubeMusicUrl","AlbumArtUrl"
"Runnin'","Adam Lambert","Trespassing (Deluxe Version)","https://music.youtube.com/search?q=Adam%20Lambert%20Runnin%27","https://cdn-images.dzcdn.net/images/cover/0a02283bf2ba4ec6d98c78e3b7a4871a/1000x1000-000000-80-0-0.jpg"
"Trespassing","Adam Lambert","Trespassing (Deluxe Version)","https://music.youtube.com/search?q=Adam%20Lambert%20Trespassing","https://cdn-images.dzcdn.net/images/cover/0a02283bf2ba4ec6d98c78e3b7a4871a/1000x1000-000000-80-0-0.jpg"
"Whataya Want from Me","Adam Lambert","For Your Entertainment (Deluxe Version)","https://music.youtube.com/search?q=Adam%20Lambert%20Whataya%20Want%20from%20Me","https://cdn-images.dzcdn.net/images/cover/29a443dfa0f33bad226b271da27304e9/1000x1000-000000-80-0-0.jpg"
"Whataya Want from Me (Live at ENERGY Berlin 103.4)","Adam Lambert","Acoustic Live!","https://music.youtube.com/search?q=Adam%20Lambert%20Whataya%20Want%20from%20Me%20%28Live%20at%20ENERGY%20Berlin%20103.4%29","https://cdn-images.dzcdn.net/images/cover/eb1dc4710794eec56da5ed094b792a98/1000x1000-000000-80-0-0.jpg"
"A Higher Place","Adam Levine","Begin Again - Music From and Inspired By the Original Motion Picture (Deluxe)","https://music.youtube.com/search?q=Adam%20Levine%20A%20Higher%20Place","https://cdn-images.dzcdn.net/images/cover/7f4bb97b3ca86d121583a4df2a7b2bac/1000x1000-000000-80-0-0.jpg"
"Lost Stars","Adam Levine","Begin Again - Music From and Inspired By the Original Motion Picture (Deluxe)","https://music.youtube.com/search?q=Adam%20Levine%20Lost%20Stars","https://cdn-images.dzcdn.net/images/cover/f0a1d4442389bcd7919a7054f8c0b785/1000x1000-000000-80-0-0.jpg"
"Chasing Pavements","Adele","Live at the Royal Albert Hall","https://music.youtube.com/search?q=Adele%20Chasing%20Pavements","https://cdn-images.dzcdn.net/images/cover/c396bb2d73c016d7a1ffdaca77b5c255/1000x1000-000000-80-0-0.jpg"
"Hello","Adele","25","https://music.youtube.com/search?q=Adele%20Hello","https://cdn-images.dzcdn.net/images/cover/eaeadce7932a97533fe495881d2fcd7a/1000x1000-000000-80-0-0.jpg"
"Rolling in the Deep","Adele","21","https://music.youtube.com/search?q=Adele%20Rolling%20in%20the%20Deep","https://cdn-images.dzcdn.net/images/cover/8bdaf37e2e7f883e84bbc3462c938293/1000x1000-000000-80-0-0.jpg"
"Someone Like You","Adele","21","https://music.youtube.com/search?q=Adele%20Someone%20Like%20You","https://cdn-images.dzcdn.net/images/cover/8bdaf37e2e7f883e84bbc3462c938293/1000x1000-000000-80-0-0.jpg"
"When We Were Young","Adele","25","https://music.youtube.com/search?q=Adele%20When%20We%20Were%20Young","https://cdn-images.dzcdn.net/images/cover/eaeadce7932a97533fe495881d2fcd7a/1000x1000-000000-80-0-0.jpg"
"Black Mamba","aespa","Black Mamba","https://music.youtube.com/search?q=aespa%20Black%20Mamba","https://cdn-images.dzcdn.net/images/cover/72667c52af5ea28bbd7ca31acade158e/1000x1000-000000-80-0-0.jpg"
"Dreams Come True","aespa","2021 Winter SMTOWN : SMCU EXPRESS","https://music.youtube.com/search?q=aespa%20Dreams%20Come%20True","https://cdn-images.dzcdn.net/images/cover/b3885056057e162a5dfe3d971cea643e/1000x1000-000000-80-0-0.jpg"
"Lucid Dream","aespa","Savage - The 1st Mini Album - EP","https://music.youtube.com/search?q=aespa%20Lucid%20Dream","https://cdn-images.dzcdn.net/images/cover/81fe7fdd37612acbdbb3d4003453c44b/1000x1000-000000-80-0-0.jpg"
"Next Level","aespa","Next Level","https://music.youtube.com/search?q=aespa%20Next%20Level","https://cdn-images.dzcdn.net/images/cover/4ba621bc50f7bfe671411a41979b7f89/1000x1000-000000-80-0-0.jpg"
"Riverside","Agnes Obel","Riverside","https://music.youtube.com/search?q=Agnes%20Obel%20Riverside","https://cdn-images.dzcdn.net/images/cover/697a4d7acec93293e6018d757bc418de/1000x1000-000000-80-0-0.jpg"
"Slow Dance (feat. Ava Max)","AJ Mitchell","Slow Dance","https://music.youtube.com/search?q=AJ%20Mitchell%20Slow%20Dance%20%28feat.%20Ava%20Max%29","https://cdn-images.dzcdn.net/images/cover/60617c88748e4681c2ade5ca93db652c/1000x1000-000000-80-0-0.jpg"
"Slow Dance","AJ Mitchell/Ava Max","Slow Dance","https://music.youtube.com/search?q=AJ%20Mitchell%2FAva%20Max%20Slow%20Dance","https://cdn-images.dzcdn.net/images/cover/60617c88748e4681c2ade5ca93db652c/1000x1000-000000-80-0-0.jpg"
"Wind","Akeboshi","Akeboshi","https://music.youtube.com/search?q=Akeboshi%20Wind","https://cdn-images.dzcdn.net/images/cover/9de951b266a85cc0e8b38dc95ffcd1b8/1000x1000-000000-80-0-0.jpg"
"Be With You","Akon","Freedom","https://music.youtube.com/search?q=Akon%20Be%20With%20You","https://cdn-images.dzcdn.net/images/cover/8a1bff4feb19d14d87971aacf2821fa9/1000x1000-000000-80-0-0.jpg"
"Gangsta Bop (Explicit)","Akon","Konvicted (Complete Edition)","https://music.youtube.com/search?q=Akon%20Gangsta%20Bop%20%28Explicit%29","https://cdn-images.dzcdn.net/images/cover/b95eecd0c63cdb7790f51fe996a10666/1000x1000-000000-80-0-0.jpg"
"Island (Prod. by DJ Frank E)","Akon","Island (Prod. by DJ Frank E) - Single","https://music.youtube.com/search?q=Akon%20Island%20%28Prod.%20by%20DJ%20Frank%20E%29",""
"Keep You Much Longer","Akon","Freedom","https://music.youtube.com/search?q=Akon%20Keep%20You%20Much%20Longer","https://cdn-images.dzcdn.net/images/cover/8a1bff4feb19d14d87971aacf2821fa9/1000x1000-000000-80-0-0.jpg"
"Lonely","Akon","Absolute Music 49","https://music.youtube.com/search?q=Akon%20Lonely","https://cdn-images.dzcdn.net/images/cover/edcd5cfc4d0f6da3e7389e3507780348/1000x1000-000000-80-0-0.jpg"
"Nosy Neighbour","Akon","Nosy Neighbour - Single","https://music.youtube.com/search?q=Akon%20Nosy%20Neighbour",""
